date	cases
01/01/2021	24.605
03/01/2021	17.341
04/01/2021	20.006
05/01/2021	56.648
06/01/2021	63.430
07/01/2021	87.843
08/01/2021	52.035
09/01/2021	62.290
10/01/2021	29.792
11/01/2021	25.822
12/01/2021	64.025
13/01/2021	60.899
14/01/2021	67.758
15/01/2021	69.198
16/01/2021	61.567
17/01/2021	33.040
18/01/2021	23.671
19/01/2021	62.094
20/01/2021	64.385
21/01/2021	59.119
22/01/2021	56.552
23/01/2021	62.334
24/01/2021	28.323
25/01/2021	26.816
26/01/2021	61.963
27/01/2021	63.520
29/01/2021	59.826
30/01/2021	58.462
31/01/2021	27.756
